Institution,Country,AC,FC
"Changzhou Vocational Institute of Engineering (CZIE)",China,1,0.125
"Doculayer, Inc.",Netherlands,1,0.125
"Liaocheng People's Hospital",China,1,0.125
"Nanoscope Technologies LLC","United States of America (USA)",1,0.125
"Wentworth Institute of Technology (WIT)","United States of America (USA)",1,0.125
"University of Engineering and Technology Taxila (UET Taxila)",Pakistan,1,0.125
"Graduate University of Advanced Technology (GUAT)",Iran,1,0.125
"Cassava Sciences Inc.","United States of America (USA)",1,0.125
"Eliis SAS",France,1,0.125
"Kulima Integrated Development Solutions (Pty) Ltd","South Africa",1,0.125
"Leadmicro Nano Technology Co.",China,1,0.125
"Government College of Engineering and Ceramic Technology (GCECT)",India,1,0.125
"Institute for Sustainable Development and International Relations (IDDRI)",France,1,0.125
"World Lab.",Japan,1,0.125
"Earlham College","United States of America (USA)",1,0.125
"Physicians Scientists & Engineers for Healthy Energy (PSE)","United States of America (USA)",1,0.125
"Guangdong Women and Children Hospital",China,1,0.125
"Duksung Women's University","South Korea",1,0.125
"Oates Biomedical Consulting, LLC","United States of America (USA)",1,0.125
"Sustainable Development Policy Institute (SDPI)",Pakistan,1,0.125
"Guangdong Wens Foodstuff Group Co., Ltd.",China,1,0.125
"Taiyuan Normal University",China,1,0.125
"Instituto de Soldadura e Qualidade (ISQ)",Portugal,1,0.125
"High Point University","United States of America (USA)",1,0.125
"De Sangosse SAS",France,1,0.125
"Henan Huarui High-Tech Materials Co., Ltd.",China,1,0.125
"Maine Department of Inland Fisheries and Wildlife","United States of America (USA)",1,0.125
"Central University of Punjab Bathinda (CUPB)",India,1,0.125
"Sextant Technologies Ltd.","New Zealand",1,0.125
"Centre of Excellence for Biosensors, Instrumentation and Process Control (COBIK)",Slovenia,1,0.125
"Alamo Laboratories Inc.","United States of America (USA)",1,0.125
"Stadt Zürich Umwelt- und Gesundheitsschutz (UGZ)",Switzerland,1,0.125
"Qiqihar Medical University (QMU)",China,1,0.125
"Shenzhen Six Carbon Technology Co. Ltd.",China,1,0.125
"Tianjin Hemay Biotechnology Co., Ltd.",China,1,0.125
"Synthace Limited","United Kingdom (UK)",1,0.125
"Swiss Reinsurance Company Ltd.",Switzerland,1,0.125
"English Heritage","United Kingdom (UK)",1,0.125
Waternet,Netherlands,1,0.125
"Tokyo Metropolitan Government",Japan,1,0.125
"Insmed Inc.","United States of America (USA)",1,0.125
MetisMedica,Canada,1,0.125
"Free University of Tbilisi",Georgia,1,0.125
"Koya University",Iraq,1,0.125
"ENEOS Holdings",Japan,1,0.125
"Nelson Engineering Co.","United States of America (USA)",1,0.125
"Jiangxi Provincial People's Hospital",China,1,0.125
CABI,"United Kingdom (UK)",1,0.125
"Bloomage Bio Technology Co., Ltd.",China,1,0.125
"POF Hospital",Pakistan,1,0.125
"Universidad de Pinar del Río ""Hermanos Saíz Montes de Oca"" (UPR)",Cuba,1,0.125
"Kumaun University",India,1,0.125
"Wuhan Jinyintan Hospital",China,2,0.1242816091954
"Rio Tinto plc","United Kingdom (UK)",5,0.12420634920635
"Athens Naval Hospital (NNA)",Greece,2,0.12406015037594
"Hospital Regional Universitario de Málaga",Spain,7,0.12399297079256
"Adaptive Biotechnologies LLC","United States of America (USA)",2,0.123973727422
"Bureau Waardenburg B.V.",Netherlands,4,0.1237072258737
"World Resources Institute (WRI)","United States of America (USA)",2,0.12333333333333
"CHU Saint Etienne",France,3,0.12306650622888
"Yeditepe University",Turkey,1,0.12280701754386
"Council for Agricultural Research and Analysis of Agricultural Economics (CREA)",Italy,5,0.12274793590583
"Institute of Particle Physics (IPP)",Canada,23,0.12267768693249
"Witten/Herdecke University (UW/H)",Germany,3,0.12264822134387
"University of Teramo (UniTE)",Italy,4,0.1223783891547
"Wuxi Biortus Biosciences Co., Ltd.",China,2,0.12237762237762
"National Veterinary Research Institute (NVRI)",Nigeria,2,0.12234706616729
"Environmental Protection Agency (EPA)",Ireland,7,0.12226631393298
"Cambridge Quantum Computing Limited (CQC)","United Kingdom (UK)",2,0.12179487179487
"Teine Keijinkai Hospital",Japan,2,0.12166666666667
"National Institute of Blood Transfusion (INTS)",France,4,0.12162818112475
"Dimension Inx, LLC","United States of America (USA)",1,0.12121212121212
"Shanghai Institute of Ultrasound in Medicine (SIUM)",China,1,0.12121212121212
"OncoNano Medicine, Inc.","United States of America (USA)",1,0.12121212121212
"Shenyang Ligong University",China,1,0.12121212121212
"National Institute of Technology, Yonago College",Japan,1,0.12121212121212
"Sichuan University of Arts and Science",China,1,0.12121212121212
"National Institute for Medical Research (NIMR)",Tanzania,4,0.12087272001065
"École Nationale d'Ingénieurs de Saint-Etienne (ENISE)",France,3,0.12076923076923
"ASST Gaetano Pini",Italy,1,0.12068965517241
"The New Guinea Binatang Research Center","Papua New Guinea",2,0.12043512043512
"University of North Alabama (UNA)","United States of America (USA)",2,0.12032085561497
"Perstorp Holding AB",Sweden,7,0.12014941199152
"OrganoClick AB",Sweden,7,0.12014941199152
"Sigrid Therapeutics AB",Sweden,7,0.12014941199152
"Nynas AB",Sweden,7,0.12014941199152
"Cambrex Corporation","United States of America (USA)",7,0.12014941199152
"NeoZeo AB",Sweden,7,0.12014941199152
"Biokol, Lilliestrale & Co.",Sweden,7,0.12014941199152
Calidris,Sweden,7,0.12014941199152
"Jiangxi Size Materials Co., Ltd.",China,7,0.12014941199152
"Delaware Technical Community College","United States of America (USA)",4,0.12008978675645
"Wesley College","United States of America (USA)",4,0.12008978675645
"Ente Ospedaliero Cantonale (EOC)",Switzerland,1,0.12
GenoScreen,France,1,0.12
"Predictive Biology, Inc.","United States of America (USA)",1,0.12
"Diabetes Study Group",Germany,4,0.11956184653553
"Sema4, Inc.","United States of America (USA)",7,0.11949930969539
"University of Worcester","United Kingdom (UK)",4,0.1194679945973
"GPCR Consortium","United States of America (USA)",2,0.11929824561404
"Syktyvkar State University",Russia,2,0.11904761904762
"ESIEE Paris - The School of Technological Innovation",France,1,0.11904761904762
"Twitter, Inc.","United States of America (USA)",1,0.11904761904762
"GeneMedicine Co., Ltd.","South Korea",1,0.11904761904762
"Fondation Pour l'Audition",France,1,0.11904761904762
PotashCorp,Canada,2,0.11858974358974
"Goiano Federal Institute (IFGOIANO)",Brazil,2,0.11851851851852
"Barwon Health",Australia,7,0.11836628485453
"Australian Defence Force (ADF)",Australia,3,0.11828703703704
"University of Wisconsin-Extension (UW-Extension)","United States of America (USA)",2,0.11805555555556
"BIOSAXS GmbH",Germany,2,0.11805555555556
"Infectious Diseases Research Collaboration (IDRC)",Uganda,2,0.11781609195402
"Sutter Health","United States of America (USA)",2,0.11770833333333
Swissgenetics,Switzerland,1,0.11764705882353
"Qualitas AG",Switzerland,1,0.11764705882353
"CERo Therapeutics, Inc.","United States of America (USA)",1,0.11764705882353
"SCIREQ Scientific Respiratory Equipment Inc.",Canada,1,0.11764705882353
"ZuchtData EDV-Dienstleistungen GmbH",Austria,1,0.11764705882353
"Stemline Therapeutics Inc.","United States of America (USA)",1,0.11764705882353
"Biodiversity Research Institute","United States of America (USA)",1,0.11764705882353
"Sichuan Forestry and Grassland Bureau",China,1,0.11764705882353
"Ferronova Pty Ltd.",Australia,1,0.11764705882353
"Scripps Health","United States of America (USA)",1,0.11764705882353
"Caminos del Agua",Mexico,1,0.11764705882353
"Kadmon Corporation, LLC","United States of America (USA)",1,0.11764705882353
"Adenium Biotech ApS",Denmark,1,0.11764705882353
"Maravai Life Sciences","United States of America (USA)",1,0.11764705882353
"Guangdong Provincial Second People's Hospital",China,3,0.1169623059867
"Zoic Labs","United States of America (USA)",2,0.11692307692308
"National Institute of Technology, Andhra Pradesh (NIT-AP)",India,2,0.11688311688312
"DHI Water and Environment",Denmark,2,0.11688311688312
"University of Sindh",Pakistan,2,0.11666666666667
"Enchi Corporation","United States of America (USA)",1,0.11666666666667
"Barcelona Alzheimer Treatment and Research Center (ACE)",Spain,1,0.11666666666667
"Chris O'Brien Lifehouse",Australia,3,0.11647019919079
"Orygen, The National Centre of Excellence in Youth Mental Health",Australia,5,0.11627617813398
"Intelligent Synthetic Biology Center","South Korea",2,0.11609686609687
"Hong Kong Sanatorium and Hospital (HKSH)",China,5,0.11602974396789
"Rudolfstiftung Hospital",Austria,2,0.11597222222222
"Ochsner Health System","United States of America (USA)",3,0.11584249084249
"University of Dschang",Cameroon,2,0.11574074074074
"Servicio de Hidrografía Naval (SHN)",Argentina,2,0.11549707602339
"Berufsgenossenschaftliche Unfallklinik Murnau (BGU Murnau)",Germany,1,0.11538461538462
"Doheny Eye Institute (DEI)","United States of America (USA)",1,0.11538461538462
"Seer Medical",Australia,1,0.11538461538462
"Norton Healthcare","United States of America (USA)",1,0.11538461538462
"University of Tadulako",Indonesia,2,0.11529933481153
"China Ministry of Science and Technology of the People's Republic of China (MOST)",China,11,0.11525524870059
"Leitat - Technological Center",Spain,2,0.11515151515152
"Finnish Institute of Occupational Health (FIOH)",Finland,4,0.11510257226769
"Children Hospital and Institute of Child Health, Multan",Pakistan,3,0.11495328182207
"Cabrini Health",Australia,4,0.11495101887232
"Instituto Português do Mar e da Atmosfera (IPMA)",Portugal,3,0.11494708994709
"Project MinE ALS Sequencing Consortium",Netherlands,1,0.11481481481481
"Saarland Cancer Registry",Germany,2,0.11478758169935
"Karadeniz Technical University (KTU)",Turkey,2,0.11448948948949
"Bluefin Biomedicine","United States of America (USA)",2,0.11448275862069
"National Institute of Psychiatry Ramón de la Fuente Muñiz (INPRFM)",Mexico,2,0.11429582448691
"Angiocrine Bioscience, Inc.","United States of America (USA)",2,0.11407407407407
"Instituto Butantan",Brazil,2,0.11396011396011
"Abu Dhabi Health Services Company (SEHA)","United Arab Emirates",2,0.11392773892774
"Institut de Radioastronomie Millimétrique (IRAM)",France,3,0.11365089514066
"London North West Healthcare NHS Trust (LNWH)","United Kingdom (UK)",16,0.11364243156173
"Whitman Walker Health (WWH)","United States of America (USA)",1,0.11363636363636
"Centre de Lutte Contre le Cancer Eugène Marquis (Rennes)",France,3,0.11346894803549
"The Michael J. Fox Foundation for Parkinson's Research (MJFF)","United States of America (USA)",2,0.1130329847144
"Secretary of Health of the State of Bahia (SESAB)",Brazil,4,0.11255625551517
"SA Department of Environment, Water and Natural Resources",Australia,6,0.1125496031746
"Dayananda Sagar Institutions (DSI)",India,2,0.11225790010194
TI-COAST,Netherlands,1,0.11190476190476
"Centre Oscar Lambret",France,5,0.11155334019567
"Portugal Telecom Inovação, S.A. (PTIn)",Portugal,4,0.11111111111111
"Polytechnic Institute of Leiria (IPLeiria)",Portugal,4,0.11111111111111
"AB Analitica Srl",Italy,2,0.11111111111111
"Kwantlen Polytechnic University (KPU)",Canada,2,0.11111111111111
"Phoenix Geophysics",Canada,1,0.11111111111111
"Sustainable Earth Research LLC","United States of America (USA)",1,0.11111111111111
"Zangnuo Group",China,1,0.11111111111111
"Western Digital Technologies Inc.","United States of America (USA)",1,0.11111111111111
"Chuxiong Normal University (CXTC)",China,1,0.11111111111111
"Biaffin GmbH & Co KG",Germany,1,0.11111111111111
"Canadian Food Inspection Agency (CFIA)",Canada,1,0.11111111111111
"Hospital General Dr. Manuel Gea González",Mexico,1,0.11111111111111
"Advanced Environmental Technologies","United States of America (USA)",1,0.11111111111111
"Shenzhen Xtretch Technologies Co., Ltd.",China,1,0.11111111111111
"Volgograd State University (VolSU)",Russia,1,0.11111111111111
"Molecular Horizon srl",Italy,1,0.11111111111111
"Mycosynthetix, Inc.","United States of America (USA)",1,0.11111111111111
"Quantopian Inc.","United States of America (USA)",1,0.11111111111111
"Université Alioune Diop de Bambey (UADB)",Senegal,1,0.11111111111111
"Fisheries Research Institute of Fujian",China,1,0.11111111111111
"Handan People's Hospital",China,1,0.11111111111111
"Ephorate of Antiquities of Cyclades, Greek Ministry of Culture",Greece,1,0.11111111111111
"Zhejiang Hisun Biomaterials Co., Ltd.",China,1,0.11111111111111
ARCTIConnexion,Canada,1,0.11111111111111
"Software for Science Developments (S4SD)",Spain,1,0.11111111111111
"Jinzhong University",China,1,0.11111111111111
"Vinzenz von Paul Kliniken",Germany,1,0.11111111111111
"NVision Imaging Technologies GmbH",Germany,1,0.11111111111111
"Dongwon Heavy Industries Co., Ltd.","South Korea",1,0.11111111111111
"Institute of Water Modelling (IWM)",Bangladesh,1,0.11111111111111
"Chitose Institute of Science and Technology",Japan,1,0.11111111111111
"Practical Action Consulting",Nepal,1,0.11111111111111
"University of Tuzla","Bosnia and Herzegovina",1,0.11111111111111
"Silpakorn University",Thailand,1,0.11111111111111
"Tianjin Academy of Traditional Chinese Medicine Affiliated Hospital",China,1,0.11111111111111
"Changzhou Environmental Monitoring Center",China,1,0.11111111111111
"SPAROS Lda.",Portugal,1,0.11111111111111
"Munch Museum",Norway,1,0.11111111111111
"Center for Bionics, KIST","South Korea",1,0.11111111111111
"Tasly Holding Group Co., Ltd.",China,1,0.11111111111111
"Army Academy of Armored Forces",China,1,0.11111111111111
"Beppu University",Japan,1,0.11111111111111
"Posiva Oy Olkiluoto",Finland,1,0.11111111111111
"NEW Water","United States of America (USA)",1,0.11111111111111
"Premier Biosoft India Pvt Ltd.",India,1,0.11111111111111
"UCSI University",Malaysia,1,0.11111111111111
"A/gent Consultancy B.V.",Netherlands,1,0.11111111111111
"Enkris Semiconductor Inc.",China,1,0.11111111111111
"Renmin Hospital of Zhongshan City",China,1,0.11111111111111
"Molecular Vista","United States of America (USA)",1,0.11111111111111
"Utah Field House of Natural History State Park Museum","United States of America (USA)",1,0.11111111111111
"Demuris Limited","United Kingdom (UK)",1,0.11111111111111
"Nunavut Arctic College (NAC)",Canada,1,0.11111111111111
"Tianjin Academy of Environmental Sciences",China,1,0.11111111111111
"Community of Pond Inlet",Canada,1,0.11111111111111
"Zhangjiagang Entry-Exit Inspection and Quarantine Bureau",China,1,0.11111111111111
"Veterinary Clinic in Hofheim",Germany,1,0.11111111111111
"County Governor of Rogaland",Norway,1,0.11111111111111
"Jiaying University",China,1,0.11111111111111
"Lifetech Scientific (Shenzhen) Co., Ltd.",China,1,0.11111111111111
"Tierklinik am Kaiserberg",Germany,1,0.11111111111111
"Catholic Kwandong University (CKU)","South Korea",1,0.11111111111111
"French Environment and Energy Management Agency (ADEME)",France,1,0.11111111111111
"Actronika SAS",France,1,0.11111111111111
"Seoul Zoo","South Korea",1,0.11111111111111
"Epic Systems Corporation","United States of America (USA)",1,0.11111111111111
"Yellow Island Aquaculture Limited",Canada,1,0.11111111111111
"State Authority for Mining, Energy and Geology (LBEG)",Germany,1,0.11111111111111
"Chuxiong Prefectural Museum",China,1,0.11111111111111
"Beijing Wantai Biological Pharmacy Enterprise CO., LTD.",China,1,0.11111111111111
"Arava Institute of Environmental Studies (AIES)",Israel,1,0.11111111111111
"Fundacion Vigias Del Patrimonio Paleontologico La Tatacoa",Colombia,1,0.11111111111111
"Insitome, Inc.","United States of America (USA)",1,0.11111111111111
"International Initiative for Theoretical Ecology (IITE)","United Kingdom (UK)",1,0.11111111111111
"DKC Corporation","South Korea",1,0.11111111111111
"WSP Global Inc.",Canada,1,0.11111111111111
"Anhui Wantai Geophysical Technology Co., Ltd.",China,1,0.11111111111111
"​Bocking Associates CBM Pty Ltd.",Australia,1,0.11111111111111
"Seoul Institute of Technology (SIT)","South Korea",1,0.11111111111111
"MIT Comparative Media Studies/Writing","United States of America (USA)",1,0.11111111111111
"United States Coast Guard","United States of America (USA)",1,0.11111111111111
V.Lit.Consult,Netherlands,1,0.11111111111111
"Ervaxx Ltd.","United Kingdom (UK)",1,0.11111111111111
"Mount Saint Mary's University (MSMU)","United States of America (USA)",1,0.11111111111111
"Shanxi Lu'an Aspen Hydrogen Power Technology Co., Ltd.",China,1,0.11111111111111
"Heidelberg University","United States of America (USA)",1,0.11111111111111
"Sacred Heart University","United States of America (USA)",1,0.11111111111111
"Netaji Subhas Chandra Bose Cancer Research Institute (NSCRI)",India,1,0.11111111111111
"Deventer Hospital",Netherlands,1,0.11111111111111
"Ji'nan Hospital of Traditional Chinese Medicine",China,1,0.11111111111111
"Demeta S.A.S",France,1,0.11111111111111
"Noritake Co., Limited",Japan,1,0.11111111111111
"Jiangsu Meizhong Medical Technology Co., Ltd",China,1,0.11111111111111
"Volcanic Basin Petroleum Research (VBPR)",Norway,1,0.11111111111111
"Polytechnic Institute of Bragança (IPB)",Portugal,1,0.11111111111111
"Chengdu Institute of Cultural Relics and Archaeology",China,1,0.11111111111111
"Landesamt für Umwelt, Naturschutz und Geologie Mecklenburg-Vorpommern (LUNG)",Germany,1,0.11111111111111
"Headingley Enterprise and Arts Centre","United Kingdom (UK)",1,0.11111111111111
"Alacris Theranostics GmbH",Germany,1,0.11111111111111
"Protein Express, Inc.","United States of America (USA)",1,0.11111111111111
"Mercy Health System","United States of America (USA)",1,0.11111111111111
"Hakujyuji Hospital",Japan,1,0.11111111111111
"Natural History Museum and Institute, Chiba",Japan,1,0.11111111111111
"Guiyang University (GYU)",China,1,0.11111111111111
"Zhendong Pharmaceutical Research Institute Co., Ltd.",China,1,0.11111111111111
"N.P. Ogarev Mordovia State University",Russia,1,0.11111111111111
"Novotech (Australia) Pty Limited",Australia,1,0.11111111111111
"Vienna Institute for Nature Conservation and Analyses (VINCA)",Austria,1,0.11111111111111
"Polyclinique les Jasmins",Tunisia,1,0.11111111111111
"TAO Health Life Pharma Co. Ltd.",Japan,1,0.11111111111111
"ConservationLinks Pvt Ltd.",Singapore,1,0.11111111111111
"CoAsia Corporation","South Korea",1,0.11111111111111
"Western Colorado University (Western)","United States of America (USA)",1,0.11111111111111
"China Metallurgy Geology Bureau",China,1,0.11111111111111
"Epithelix Sàrl",Switzerland,1,0.11111111111111
"Orum Therapeutics Inc.","South Korea",1,0.11111111111111
"Shanghai Polytechnic University (SSPU)",China,1,0.11111111111111
"Dassault Systèmes (3DS)",France,1,0.11111111111111
"Guangdong Xinbaotang Biological Technology Co. Ltd.",China,1,0.11111111111111
"Carmel High School","United States of America (USA)",1,0.11111111111111
"Chongqing Academy of Metrology and Quality Inspection",China,1,0.11111111111111
"Vestergaard Frandsen (EA) Ltd",Kenya,1,0.11111111111111
rdscientific,"United Kingdom (UK)",1,0.11111111111111
"Vestergaard SA",Switzerland,1,0.11111111111111
"Changsha Environmental Protection College",China,1,0.11111111111111
"Indian Institute of Management Udaipur (IIMU)",India,1,0.11111111111111
"Kuwait College Science and Technology (KCST)",Kuwait,1,0.11111111111111
"MetaSensing BV",Netherlands,1,0.11111111111111
"NSS College Pandalam",India,1,0.11111111111111
"Regional Integrated Multi-Hazard Early Warning System for Africa and Asia (RIMES)",Thailand,1,0.11111111111111
"University of Southern Maine (USM)","United States of America (USA)",1,0.11111111111111
"Central University of the Caribbean","United States of America (USA)",1,0.11111111111111
"Başkent University",Turkey,1,0.11111111111111
"Northland College","United States of America (USA)",1,0.11111111111111
"Omics Informatics LLC","United States of America (USA)",1,0.11111111111111
"Microvast Power System Co., Ltd.",China,1,0.11111111111111
"AniCura Animal Hospital",Norway,1,0.11111111111111
"Soka University of America","United States of America (USA)",1,0.11111111111111
"Beijing Water Authority",China,1,0.11111111111111
"Deggendorf Institute of Technology (DIT)",Germany,1,0.11111111111111
"Liberty University","United States of America (USA)",1,0.11111111111111
"Xtal BioStructures","United States of America (USA)",1,0.11111111111111
"Fujian Inspection and Research Institute for Product Quality (FQII)",China,1,0.11111111111111
"Nanjing Polytechnic Institute (NJPI)",China,1,0.11111111111111
"Pennsylvania Fish and Boat Commission (PFBC)","United States of America (USA)",1,0.11111111111111
"Pennsylvania Game Commission (PGC)","United States of America (USA)",1,0.11111111111111
"Appili Therapeutics",Canada,1,0.11111111111111
"Doshisha Women's College of Liberal Arts",Japan,1,0.11111111111111
"Racing Analytical Services Limited (RASL)",Australia,1,0.11111111111111
"Taiyo Yuden Co., Ltd.",Japan,1,0.11111111111111
"Allegheny College","United States of America (USA)",1,0.11111111111111
"Inscripta, Inc.","United States of America (USA)",1,0.11111111111111
"Fukushima Prefectural Fisheries and Marine Science Research Centre",Japan,1,0.11111111111111
"Speleoclub Arabica",Russia,1,0.11111111111111
"Middlesex County College","United States of America (USA)",1,0.11111111111111
"Tianjin Mobile Armed Police Crops",China,1,0.11111111111111
"EyePACS LLC","United States of America (USA)",1,0.11111111111111
"Momenta Pharmaceuticals, Inc.","United States of America (USA)",1,0.11111111111111
"Schefe Consulting",Australia,1,0.11111111111111
"Shijiazhuang People's Medical College",China,1,0.11111111111111
"StemCell Technologies, Inc.",Canada,1,0.11111111111111
"Westridge High School (Westridge)","United States of America (USA)",1,0.11111111111111
"Newport News Waterworks","United States of America (USA)",1,0.11111111111111
"Obstech SpA",Chile,1,0.11111111111111
"Akuna Capital, LLC","United States of America (USA)",1,0.11111111111111
"APT Observatories Group",Spain,1,0.11111111111111
"Ngileah Homestead","New Zealand",1,0.11111111111111
"Gigamon Applied Threat Research Team","United States of America (USA)",1,0.11111111111111
"Dubna State University",Russia,3,0.11097859327217
"Personal Genome Diagnostics, Inc. (PGDx)","United States of America (USA)",2,0.11090909090909
"University of Magallanes (UMAG)",Chile,4,0.1105533496663
"Tomocube, Inc.","South Korea",2,0.11025641025641
"National Audubon Society, Inc.","United States of America (USA)",2,0.10990099009901
"MRAG Ltd.","United Kingdom (UK)",2,0.10964912280702
"Société Axonic",France,2,0.10882352941176
"Albert Schweitzer Hospital",Netherlands,3,0.10871647509579
"Missouri Institute of Mental Health (MIMH)","United States of America (USA)",2,0.10856697819315
"Technical University of Košice (TUKE)",Slovakia,22,0.10837473319967
"Genomics plc","United Kingdom (UK)",4,0.10812182546528
"Brazilian Science Data Center (BSDC)",Brazil,7,0.1078948175723
"Ospedale di Parma",Italy,3,0.1078741342969
"Bornholms Hospital",Denmark,33,0.1076700683707
"Ringsted Sygehus",Denmark,33,0.1076700683707
"Slagelse Hospital",Denmark,33,0.1076700683707
"Nykøbing Falster Sygehus",Denmark,33,0.1076700683707
"Psykiatrien Region Sjælland",Denmark,33,0.1076700683707
"Nordsjællands Hospital",Denmark,33,0.1076700683707
"Foundation for Innovative New Diagnostics (FIND)",Switzerland,2,0.10740740740741
"Syndax Pharmaceuticals, Inc.","United States of America (USA)",2,0.10714285714286
"The Electromagnetics Academy (TEA)","United States of America (USA)",1,0.10714285714286
"Immetacyte Ltd.","United Kingdom (UK)",1,0.10714285714286
"South African National Space Agency (SANSA)","South Africa",1,0.10714285714286
"China Information and Communication Technologies Group Corporation (CICT)",China,1,0.10714285714286
"Swedish National Institute of Public Health",Sweden,1,0.10714285714286
"Communicable Disease Control",Sweden,1,0.10714285714286
"Lysosomal Therapeutics, Inc.","United States of America (USA)",1,0.10714285714286
"Chulabhorn Royal Academy (CRA)",Thailand,1,0.10648148148148
"UCHealth Diane O’Connor Thompson Breast Center","United States of America (USA)",10,0.10642170903449
"Cancer Research Malaysia (CRM)",Malaysia,4,0.10633542517914
"German Sport University Cologne (GSU)",Germany,2,0.10628618693135
"Princess Margaret Hospital for Children (PMH)",Australia,6,0.1061235644034
"Changzhi Medical College",China,2,0.10597826086957
"Macrogen Inc.","South Korea",2,0.10590858416945
"Crop Research Institute (CRI)","Czech Republic",3,0.10588339535708
"St. George's University (SGU)",Grenada,2,0.10580524344569
"CSD Ingenieure AG",Switzerland,2,0.10555555555556
"Kolektor Group d.o.o.",Slovenia,2,0.10549450549451
"Wolkite University (WKU)",Ethiopia,3,0.1053375659054
"Pamela Youde Nethersole Eastern Hospital, Hong Kong",China,1,0.10526315789474
"Coordinadora de las Organizaciones Indígenas de la Cuenca Amazónica (COICA)",Ecuador,1,0.10526315789474
"Eiger BioPharmaceuticals, Inc.","United States of America (USA)",1,0.10526315789474
"British Cyprus IVF Hospital",Cyprus,1,0.10526315789474
"Powered Research, LLC","United States of America (USA)",1,0.10526315789474
"Blaze Bioscience, Inc.","United States of America (USA)",1,0.10526315789474
"Jomo Kenyatta University of Agriculture and Technology (JKUAT)",Kenya,3,0.10517019541899
"Mara University of Technology (UiTM)",Malaysia,2,0.10512820512821
"Sint Franciscus Gasthuis Rotterdam (SFG)",Netherlands,2,0.10509031198686
"Serum Institute of India Ltd. (SII)",India,10,0.10497510302198
"Netherlands Genomics Initiative (NGI)",Netherlands,10,0.10497510302198
"The University of the South Pacific (USP)",Fiji,2,0.1047619047619
"Southwest Forestry University (SWFU)",China,2,0.1047619047619
"Five Prime Therapeutics, Inc.","United States of America (USA)",2,0.10470085470085
"Bradford Teaching Hospitals NHS Foundation Trust","United Kingdom (UK)",2,0.1045871559633
"ThalesNano Inc.",Hungary,5,0.10457516339869
"Zaiput Flow Technologies","United States of America (USA)",5,0.10457516339869
"Microinnova Engineering GmbH",Austria,5,0.10457516339869
"Lonza Group Ltd.",Switzerland,5,0.10457516339869
"Research Center Pharmaceutical Engineering GmbH (RCPE)",Austria,5,0.10457516339869
"Chemtrix B.V.",Belgium,5,0.10457516339869
"Prozess Optimal CAP GmbH",Austria,5,0.10457516339869
"E.L.T. Kunststofftechnik und Werkzeugbau GmbH",Austria,5,0.10457516339869
"Phyllon GmbH",Austria,5,0.10457516339869
"Lithoz GmbH",Austria,5,0.10457516339869
"Azerbaijan State Oil and Industry University",Azerbaijan,3,0.10453133822699
"NHS Grampian","United Kingdom (UK)",5,0.10446421193412
"HM Hospitales",Spain,2,0.1043771043771
"Space Research Corporation","United States of America (USA)",3,0.10436507936508
"NSW South Eastern Sydney Local Health District (SESLHD)",Australia,3,0.10420870325531
"Georgian National Museum",Georgia,2,0.10420393559928
"Advanced Molecular Technologies Pty Ltd.",Australia,1,0.10416666666667
"Biographene Inc.","South Korea",1,0.10416666666667
"Gilbert Israeli Neurofibromatosis Center",Israel,1,0.10416666666667
"Federal University of the State of Rio de Janeiro (UNIRIO)",Brazil,2,0.1040404040404
"Otto Bock Holding GmbH & Co. KG",Germany,8,0.10379963951393
"LEO Pharma A/S",Denmark,2,0.1037037037037
"Onze Lieve Vrouwen Gasthuis (OLVG)",Netherlands,2,0.1036866359447
"Connecticut Children's Medical Center","United States of America (USA)",4,0.10360019154586
"Poole Hospital NHS Foundation Trust","United Kingdom (UK)",3,0.1034255599473
"Hong Kong Special Administrative Region Department of Health",China,2,0.10323886639676
"Museo de Historia Natural Alcide dOrbigny",Bolivia,2,0.1031746031746
"Oncomed Pharmaceuticals, Inc.","United States of America (USA)",2,0.1031746031746
"Agrifood Research and Technology Centre of Aragon (CITA)",Spain,2,0.1031746031746
"Universidad Politécnica de Pachuca (UPP)",Mexico,3,0.10296703296703
"Longyan University",China,2,0.1026455026455
"Korea Mouse Phenotyping Center (KMPC)","South Korea",3,0.10261607761608
"Angioma Alliance","United States of America (USA)",2,0.1025641025641
"IVF Namba Clinic",Japan,1,0.1025641025641
"Biosensor Laboratories Inc.","South Korea",1,0.1025641025641
"Global Solutions for Infectious Diseases (GSID)","United States of America (USA)",2,0.10230179028133
"Square Kilometre Array (SKA Organisation)","United Kingdom (UK)",3,0.10227272727273
"National Forestry and Grassland Administration (NFGA)",China,3,0.10185185185185
"The Royal Victorian Eye and Ear Hospital",Australia,4,0.10155036458024
"Agricultural Research, Education and Extension Organization (AREEO)",Iran,2,0.10143523501973
"Agence Nationale de l'Aviation Civile et de la Météorologie (ANACIM)",Senegal,2,0.10119047619048
"CARDIOR Pharmaceuticals GmbH",Germany,1,0.10119047619048
"Mustafa Kemal University",Turkey,2,0.10114942528736
"Federal University of Ouro Preto (UFOP)",Brazil,3,0.10112612612613
"South African National Biodiversity Institute (SANBI)","South Africa",3,0.10092663112465
"Nagasaki Institute of Applied Science",Japan,66,0.10074130987184
"Federal Institute for Drugs and Medical Devices (BfArM)",Germany,12,0.10037139299089
"Mazandaran University of Science and Technology (MUST)",Iran,2,0.10021043771044
